y,trend_1,trend_2,period7_seasonality,period12_seasonality,period30_seasonality,period52_seasonality,period365_seasonality
66.1573,-15.781000000000006,-8.686499999999995,84.5883,65.9342,84.7636,0.0,0.0
61.0653,-7.537899999999993,-4.230700000000013,90.5395,61.5304,100.596,0.0,0.0
64.2659,-5.092000000000006,8.243100000000013,109.9025,62.9796,100.1263,0.0,0.0
75.4174,3.2006000000000014,2.4458999999999875,103.8903,75.3447,96.3607,0.0,0.0
85.169,11.151499999999999,8.292600000000007,101.0265,84.2683,85.8007,0.0,0.0
85.0917,9.751599999999996,7.950899999999997,89.4762,84.5883,70.3934,0.0,0.0
97.3552,-0.07729999999999393,-1.3999000000000024,73.6952,90.5395,60.8072,0.0,0.0
113.5254,12.263499999999993,-9.82889999999999,66.1573,109.9025,58.6598,0.0,0.0
108.1455,16.17020000000001,12.340799999999987,61.0653,103.8903,61.0996,0.0,0.0
104.8251,-5.379900000000006,3.906700000000015,64.2659,101.0265,72.2062,0.0,0.0
90.1157,-3.3203999999999922,-21.550100000000015,75.4174,89.4762,80.0984,0.0,0.0
75.7187,-14.709400000000002,2.059500000000014,85.169,73.6952,83.9059,0.0,0.0
70.2168,-14.397000000000006,-11.38900000000001,85.0917,66.1573,87.3712,0.0,0.0
62.7436,-5.501899999999992,0.3123999999999967,97.3552,61.0653,109.7467,0.0,0.0
61.9418,-7.473200000000006,8.895100000000014,113.5254,64.2659,107.3748,0.0,0.0
74.0597,-0.8018000000000001,-1.9713000000000136,108.1455,75.4174,99.6631,0.0,0.0
86.9646,12.117900000000006,6.6714000000000055,104.8251,85.169,91.6272,0.0,0.0
90.131,12.904899999999998,12.919700000000006,90.1157,85.0917,75.3049,0.0,0.0
94.1542,3.166399999999996,0.7869999999999919,75.7187,97.3552,65.9342,59.9622,0.0
110.0257,4.023200000000003,-9.738500000000002,70.2168,113.5254,61.5304,67.0605,0.0
107.4617,15.871499999999997,0.8568000000000069,62.7436,108.1455,62.9796,74.235,0.0
103.8183,-2.564000000000007,11.848299999999995,61.9418,104.8251,75.3447,78.112,0.0
92.238,-3.6433999999999997,-18.435500000000005,74.0597,90.1157,84.2683,84.7636,0.0
75.1034,-11.580299999999994,-1.0793999999999926,86.9646,75.7187,84.5883,100.596,0.0
67.532,-17.134600000000006,-7.936899999999994,90.131,70.2168,90.5395,100.1263,0.0
62.483,-7.571399999999997,-5.554300000000012,94.1542,62.7436,109.9025,96.3607,0.0
63.7684,-5.0489999999999995,9.563200000000009,110.0257,61.9418,103.8903,85.8007,0.0
75.0613,1.2854000000000028,2.5223999999999975,107.4617,74.0597,101.0265,70.3934,0.0
90.0211,11.292900000000003,6.334400000000002,103.8183,86.9646,89.4762,60.8072,0.0
92.6645,14.959800000000001,10.0075,92.238,90.131,73.6952,58.6598,0.0
99.12,2.6433999999999997,3.6668999999999983,75.1034,94.1542,66.1573,61.0996,0.0
114.723,6.455500000000001,-12.316400000000002,67.532,110.0257,61.0653,72.2062,0.0
112.3297,15.602999999999994,3.812100000000001,62.483,107.4617,64.2659,80.0984,0.0
106.4137,-2.3932999999999964,9.147499999999994,63.7684,103.8183,75.4174,83.9059,0.0
91.7217,-5.915999999999997,-17.99629999999999,75.0613,92.238,85.169,87.3712,0.0
76.0245,-14.692000000000007,-3.5227000000000004,90.0211,75.1034,85.0917,109.7467,0.0
